Domain,Element,Area Code,Area,Element Code,Item,Year,Value (in thousands)
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,1991,"$2,677.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,1992,"$2,752.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2001,"$5,098.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2002,"$3,742.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2003,"$3,972.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2004,"$3,917.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2005,"$4,365.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2006,"$5,731.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2007,"$8,015.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2008,"$7,379.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2009,"$6,191.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2010,"$6,981.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2011,"$7,184.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2012,"$9,101.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2013,"$10,529.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2014,"$12,422.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2015,"$14,407.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2016,"$16,852.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2017,"$18,943.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2018,"$16,211.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2019,"$17,020.00"
Value of Agricultural Production,Gross Production Value,10,Australia,152,Blueberries,2020,"$17,468.00"
Value of Agricultural Production,Gross Production Value,11,Austria,152,Blueberries,2018,"$3,514.00"
Value of Agricultural Production,Gross Production Value,11,Austria,152,Blueberries,2019,"$3,341.00"
Value of Agricultural Production,Gross Production Value,11,Austria,152,Blueberries,2020,"$3,885.00"
Value of Agricultural Production,Gross Production Value,255,Belgium,152,Blueberries,2018,"$1,485.00"
Value of Agricultural Production,Gross Production Value,255,Belgium,152,Blueberries,2019,"$1,732.00"
Value of Agricultural Production,Gross Production Value,255,Belgium,152,Blueberries,2020,"$1,732.00"
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2006,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2007,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2008,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2009,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2010,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2011,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2012,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2013,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2014,$243.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2015,$240.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2016,$245.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2017,$245.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2018,$247.00
Value of Agricultural Production,Gross Production Value,27,Bulgaria,152,Blueberries,2020,$198.00
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1961,"$20,277.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1962,"$20,455.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1963,"$26,886.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1964,"$23,417.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1965,"$20,366.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1966,"$42,102.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1967,"$34,941.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1968,"$17,715.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1969,"$32,214.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1970,"$32,068.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1971,"$25,221.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1972,"$29,432.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1973,"$40,422.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1974,"$21,883.00"
Value of Agricultural Production,Gross Production Value,33,Canada,152,Blueberries,1975,"$35,606.00"
